country,year,gni,norm_gni,norm_log16
Afghanistan,2021.5,2234.376875,0.012166882,0.194670104
Albania,2020.5,15964.323,0.132402979,2.118447665
Algeria,2020.5,14569.70292,0.12018999,1.923039846
Andorra,2021,63828.504,0.551559929,8.824958859
Angola,2020.5,7122.928867,0.054976985,0.879631759
Antigua and Barbuda,2021,24849.17,0.210209499,3.363351988
Argentina,2020.5,25766.15383,0.218239724,3.49183559
Armenia,2020.5,16342.26333,0.135712684,2.171402944
Aruba,2021,34420.754,0.294029923,4.704478775
Australia,2020.5,55617.62467,0.479655489,7.674487818
Austria,2020,64206.8118,0.554872852,8.877965626
Azerbaijan,2021,19693.906,0.165063741,2.64101986
Bahamas,2020.5,29239.043,0.248652563,3.978441013
Bahrain,2020.5,52513.61733,0.452473027,7.239568438
Bangladesh,2020.5,7612.83345,0.059267185,0.94827496
Barbados,2021,15398.466,0.127447647,2.039162358
Belarus,2020.5,25993.35967,0.220229415,3.523670637
Belgium,2020,61742.3484,0.533291014,8.532656231
Belize,2020.5,11108.28333,0.089877593,1.438041489
Benin,2020.5,3393.747617,0.022319741,0.357115856
Bermuda,2020,96801.378,0.840310493,13.44496789
Bhutan,2020,12862.1113,0.105236243,1.683779881
Bolivia,2020.5,9423.490833,0.075123502,1.201976032
Bosnia and Herzegovina,2020.5,18050.52533,0.150672303,2.410756841
Botswana,2020.5,17726.89633,0.147838214,2.365411418
Brazil,2020.5,17653.75417,0.147197692,2.355163071
Brunei,2020.5,79056.60667,0.684915706,10.9586513
Bulgaria,2020.5,28207.77717,0.239621546,3.833944738
Burkina Faso,2019.5,2300.04645,0.012741964,0.203871426
Burundi,2020.5,845.02184,0,0
Cambodia,2020.5,6111.088167,0.046116078,0.737857246
Cameroon,2020.5,4736.6674,0.034079979,0.545279664
Canada,2020.5,54438.69117,0.469331314,7.509301021
Cape Verde,2020.5,8305.631617,0.065334168,1.045346686
Cayman Islands,2021,57128.47,0.492886287,7.886180589
Central African Republic,2020,1209.8564,0.003194935,0.051118958
Chad,2020.5,1737.6352,0.007816808,0.125068921
Chile,2020.5,27171.3835,0.230545623,3.688729975
China,2020.5,19592.843,0.164178711,2.626859373
Colombia,2020.5,17424.193,0.145187375,2.322998005
Comoros,2020.5,3495.923167,0.023214514,0.371432229
Congo,2020.5,5971.781533,0.04489614,0.718338234
Costa Rica,2020.5,22572.36533,0.19027103,3.044336481
Cote d'Ivoire,2020.5,5835.003517,0.043698345,0.699173521
Croatia,2020.5,36459.70867,0.311885489,4.990167822
Curacao,2021,25455.973,0.215523404,3.448374463
Cyprus,2020.5,45544.81817,0.391445751,6.263132016
Czechia,2020,45246.5672,0.388833903,6.221342448
Democratic Republic of Congo,2020.5,1280.695067,0.003815284,0.06104455
Denmark,2020.5,69910.76917,0.604823636,9.677178172
Djibouti,2020.5,5840.031333,0.043742375,0.699877996
Dominica,2021,15608.432,0.129286365,2.068581838
Dominican Republic,2020.5,20547.27583,0.172536885,2.760590157
East Timor,2020.5,6210.719367,0.04698857,0.751817116
Ecuador,2020.5,13441.55233,0.110310533,1.764968521
Egypt,2020.5,15067.283,0.124547406,1.992758503
El Salvador,2020.5,10018.35267,0.080332835,1.285325364
Equatorial Guinea,2020,13104.2206,0.107356446,1.717703134
Estonia,2020,42103.6478,0.36131068,5.780970886
Eswatini,2021,9092.788,0.072227466,1.155639456
Ethiopia,2020.5,2532.321517,0.014776047,0.236416751
Faeroe Islands,2021,70109.27,0.60656195,9.704991205
Fiji,2021,10063.922,0.080731896,1.291710332
Finland,2020.5,57602.46417,0.497037156,7.952594495
France,2020,54470.03,0.469605755,7.513692076
Gabon,2020,18584.0182,0.155344215,2.485507433
Gambia,2020.5,2732.251733,0.016526879,0.264430063
Georgia,2020.5,18037.8315,0.15056114,2.408978239
Germany,2020.5,64155.2255,0.554421099,8.870737589
Ghana,2020,6340.26464,0.048123026,0.76996841
Greece,2020,32637.5612,0.27841412,4.454625915
Grenada,2021,13951.976,0.114780423,1.836486762
Guatemala,2020.5,11455.24975,0.092916053,1.486656844
Guinea,2020.5,3579.662067,0.023947834,0.383165342
Guinea-Bissau,2020.5,2434.59665,0.013920249,0.222723988
Guyana,2021,18312.58,0.152967172,2.447474748
Haiti,2020.5,3212.189867,0.020729801,0.33167681
Honduras,2020.5,5715.687433,0.042653468,0.682455495
Hong Kong,2020.5,68196.97983,0.589815613,9.43704981
Hungary,2020,36505.421,0.312285802,4.996572827
Iceland,2021,62074.19,0.536197023,8.579152366
India,2020.5,8036.296333,0.062975541,1.007608652
Indonesia,2020.5,12536.91067,0.102388391,1.638214248
Iran,2020,14476.182,0.119371008,1.909936121
Iraq,2020,13572.1116,0.111453868,1.783261891
Ireland,2020,79521.184,0.68898411,11.02374576
Israel,2020,44404.6816,0.381461329,6.103381269
Italy,2020.5,50206.39783,0.432268209,6.916291342
Jamaica,2021,9303.654,0.074074065,1.18518504
Japan,2020,46514.9536,0.399941436,6.399062977
Jordan,2021,9136.542,0.072610629,1.161770067
Kazakhstan,2020.5,29542.989,0.251314284,4.021028543
Kenya,2020.5,5218.8873,0.038302883,0.612846121
Kiribati,2020,4939.01474,0.035851978,0.573631652
Kosovo,2020.5,12422.18733,0.101383734,1.622139737
Kuwait,2020,57983.02,0.500369765,8.005916246
Kyrgyzstan,2020.5,5743.330583,0.042895545,0.686328727
Laos,2021,7620.2485,0.05933212,0.949313923
Latvia,2020,35378.093,0.302413547,4.838616758
Lebanon,2020,12997.616,0.106422886,1.702766183
Lesotho,2020.5,3143.538533,0.020128606,0.322057698
Liberia,2021,1443.6726,0.005242514,0.08388022
Libya,2020.5,12888.7555,0.105469572,1.687513145
Lithuania,2020,43345.5966,0.372186694,5.954987099
Luxembourg,2020,91021.416,0.78969412,12.63510592
Macao,2020,93397.6088,0.810502953,12.96804724
Madagascar,2020.5,1591.823867,0.006539906,0.104638501
Malawi,2021,1636.8881,0.006934544,0.110952696
Malaysia,2020.5,30063.8655,0.255875712,4.094011388
Maldives,2020.5,17804.04783,0.148513846,2.376221535
Mali,2020.5,2288.640967,0.012642084,0.202273342
Malta,2020.5,49986.43683,0.430341963,6.885471408
Marshall Islands,2020.5,7476.7101,0.058075123,0.929201976
Mauritania,2020.5,6027.458917,0.045383718,0.726139496
Mauritius,2020.5,25590.2105,0.216698951,3.46718321
Mexico,2020.5,20926.6595,0.175859229,2.81374767
Micronesia (country),2021,4381.1733,0.030966841,0.495469448
Moldova,2020.5,15236.36683,0.12602811,2.01644976
Mongolia,2020.5,13780.9465,0.11328268,1.812522887
Montenegro,2020.5,25380.41567,0.214861732,3.437787713
Morocco,2020.5,8481.802217,0.066876932,1.070030909
Mozambique,2020.5,1433.95105,0.00515738,0.08251808
Myanmar,2021,5096.6987,0.037232851,0.595725611
Namibia,2020.5,9912.5435,0.079406242,1.270499865
Nauru,2021,18332.16,0.153138638,2.450218209
Nepal,2020.5,4632.94545,0.033171663,0.530746616
Netherlands,2020,66434.4708,0.574380942,9.190095066
New Zealand,2020,46221.0124,0.39736733,6.357877274
Nicaragua,2020.5,6608.60265,0.050472919,0.807566711
Niger,2021,1614.654,0.006739835,0.107837355
Nigeria,2021,5384.778,0.039755623,0.636089971
North Macedonia,2020.5,21216.53033,0.178397691,2.854363052
Norway,2020,88976.515,0.771786481,12.3485837
Oman,2020,35914.7482,0.307113153,4.913810442
Pakistan,2020.5,5252.495,0.038597192,0.617555079
Palau,2020,17856.514,0.148973303,2.383572856
Palestine,2020.5,6889.199117,0.052930163,0.846882611
Panama,2020.5,30418.99433,0.258985651,4.143770424
Papua New Guinea,2021,3734.7314,0.025305809,0.404892951
Paraguay,2020.5,14897.156,0.123057568,1.968921082
Peru,2020.5,14357.31583,0.118330071,1.893281135
Philippines,2020.5,9937.122167,0.079621482,1.273943716
Poland,2020.5,39106.33083,0.33506253,5.361000475
Portugal,2020.5,38810.338,0.332470457,5.319527306
Puerto Rico,2020.5,29575.82333,0.251601821,4.025629141
Qatar,2021,115036.57,1,16
Romania,2020.5,36975.03417,0.316398305,5.062372886
Russia,2020.5,37187.067,0.318255123,5.092081962
Rwanda,2020.5,2657.112917,0.015868872,0.253901954
Saint Kitts and Nevis,2021,25919.268,0.219580578,3.51328925
Saint Lucia,2021,18332.898,0.153145101,2.450321614
Saint Vincent and the Grenadines,2021,15593.019,0.12915139,2.066422238
Samoa,2020.5,6309.122683,0.047850309,0.765604941
San Marino,2020,56538.6138,0.487720789,7.803532623
Sao Tome and Principe,2021,5762.5396,0.043063763,0.689020207
Saudi Arabia,2021,56590.926,0.488178898,7.810862371
Senegal,2020.5,4024.286433,0.027841505,0.445464085
Serbia,2020.5,22113.14483,0.186249537,2.979992595
Seychelles,2020.5,29853.816,0.254036263,4.064580208
Sierra Leone,2020.5,2838.868617,0.017460546,0.279368736
Singapore,2021,112141.234,0.974644919,15.5943187
Sint Maarten (Dutch part),2021,39282.938,0.336609117,5.385745867
Slovakia,2020.5,36510.58117,0.31233099,4.997295846
Slovenia,2020,44806.7924,0.3849827,6.159723205
Solomon Islands,2020,2589.15392,0.015273741,0.244379849
Somalia,2020.5,1422.985417,0.005061352,0.080981626
South Africa,2020.5,13312.88917,0.109183801,1.746940824
South Korea,2020.5,48331.864,0.415852512,6.653640193
Spain,2020,44428.635,0.381671094,6.106737511
Sri Lanka,2020.5,13605.47283,0.11174602,1.787936316
Sudan,2020.5,3154.6472,0.020225887,0.323614193
Suriname,2021,16122.985,0.133792416,2.140678662
Sweden,2020.5,63754.771,0.550914233,8.814627727
Switzerland,2020,78647.321,0.681331503,10.90130405
Syria,2021,4425.9927,0.031359334,0.501749339
Tajikistan,2020,4605.1154,0.03292795,0.526847196
Tanzania,2020.5,3439.6723,0.022721913,0.363550613
Thailand,2021,19542.045,0.163733862,2.619741788
Togo,2020.5,2583.2624,0.015222147,0.243554356
Tonga,2020,7328.95402,0.056781192,0.908499066
Trinidad and Tobago,2021,30333.297,0.258235181,4.131762903
Tunisia,2020.5,12291.46275,0.10023895,1.603823203
Turkey,2021,31225.324,0.266046854,4.256749667
Turkmenistan,2021,16332.578,0.135627867,2.17004588
Turks and Caicos Islands,2021,21297.86,0.179109912,2.865758595
Tuvalu,2021,7218.5703,0.055814538,0.893032602
Uganda,2020.5,2635.395933,0.015678692,0.250859069
Ukraine,2020.5,16908.60517,0.140672262,2.250756184
United Arab Emirates,2020.5,68173.73067,0.589612015,9.433792243
United Kingdom,2021,53131.582,0.457884677,7.326154834
United States,2020.5,71026.96917,0.61459844,9.833575035
Uruguay,2020.5,27795.2565,0.236009014,3.77614422
Uzbekistan,2021,9290.374,0.073957769,1.183324307
Vanuatu,2020,3681.62284,0.024840726,0.397451622
Vietnam,2020.5,11548.21833,0.093730199,1.499683178
Zambia,2021,3198.357,0.020608663,0.329738612
Zimbabwe,2020.5,3236.59215,0.020943497,0.335095947
