country,year,health_pct_gdp,norm_healthgdp,healthgdp_norm_withpts,healthgdp_norm_withpts_log5
Brunei,2016.0,2.174545455,0.0,0.0,0.0
Bangladesh,2016.0,2.320909091,0.009519867525735564,0.047599337628677824,0.15231788041176902
Laos,2016.0,2.337272727,0.010584200520027676,0.05292100260013838,0.1693472083204428
Papua New Guinea,2016.0,2.441818182,0.017384105942012056,0.08692052971006028,0.2781456950721929
Equatorial Guinea,2016.0,2.509090909,0.02175969722026492,0.10879848610132459,0.3481551555242387
Congo,2016.0,2.548181818,0.024302270534995802,0.121511352674979,0.38883632855993283
Pakistan,2016.0,2.596363636,0.027436139964893674,0.13718069982446837,0.4389782394382988
Angola,2016.0,2.688181818,0.03340823079962723,0.16704115399813615,0.5345316927940357
Benin,2016.0,2.753636364,0.03766556290688075,0.18832781453440375,0.602649006510092
Gabon,2016.0,2.776363636,0.039143803162276974,0.19571901581138487,0.6263008505964316
Djibouti,2016.0,2.788181818,0.039912488131506836,0.19956244065753417,0.6385998101041094
Syria,2011.5,2.79,0.04003074736754876,0.2001537368377438,0.6404919578807802
Qatar,2016.0,2.829090909,0.04257332068227964,0.2128666034113982,0.6811731309164742
Indonesia,2016.0,3.040909091,0.05635052031526873,0.28175260157634363,0.9016083250442997
Kazakhstan,2016.0,3.096363636,0.059957426624291696,0.2997871331214585,0.9593188259886671
Cook Islands,2016.0,3.159090909,0.06403736987748235,0.3201868493874117,1.0245979180397176
Venezuela,2019.5,3.185,0.06572256382847319,0.32861281914236595,1.051561021255571
Mauritania,2016.0,3.230909091,0.06870860924583998,0.3435430462291999,1.0993377479334396
India,2016.0,3.310909091,0.07391201511134367,0.3695600755567183,1.1825922417814987
Nigeria,2016.0,3.451818182,0.08307710499399605,0.41538552496998027,1.3292336799039368
Gambia,2016.0,3.522727273,0.08768921474433275,0.4384460737216638,1.403027435909324
Oman,2016.0,3.547272727,0.08928571423577089,0.4464285711788545,1.4285714277723343
Cote d'Ivoire,2016.0,3.557272727,0.08993613996895884,0.4496806998447942,1.4389782395033415
Bhutan,2016.0,3.633636364,0.09490302742742127,0.47451513713710636,1.5184484388387403
Democratic Republic of Congo,2016.0,3.638181818,0.09519867545248348,0.4759933772624174,1.5231788072397356
Sri Lanka,2016.0,3.664545455,0.09691343424500609,0.48456717122503046,1.5506149479200975
Vanuatu,2016.0,3.689090909,0.09850993373644423,0.49254966868222116,1.5761589397831077
Cameroon,2016.0,3.695454545,0.09892384099754838,0.49461920498774187,1.582781455960774
Ethiopia,2016.0,3.746363636,0.10223509928150912,0.5111754964075456,1.6357615885041459
Malaysia,2016.0,3.752727273,0.10264900660765584,0.5132450330382792,1.6423841057224935
Fiji,2016.0,3.752727273,0.10264900660765584,0.5132450330382792,1.6423841057224935
Iraq,2016.0,3.880909091,0.1109862819030574,0.554931409515287,1.7757805104489184
Thailand,2016.0,3.912727273,0.11305581833866318,0.5652790916933159,1.808893093418611
Mali,2016.0,3.933636364,0.11441579942306007,0.5720789971153004,1.8306527907689611
Azerbaijan,2016.0,3.998181818,0.11861400184725006,0.5930700092362503,1.897824029556001
Libya,2011.0,4.02,0.12003311254966786,0.6001655627483393,1.9205298007946858
Tanzania,2016.0,4.07,0.12328524121560772,0.6164262060780386,1.9725638594497235
United Arab Emirates,2016.0,4.094545455,0.12488174077208837,0.6244087038604419,1.998107852353414
Ghana,2016.0,4.113636364,0.12612346262044338,0.6306173131022169,2.017975401927094
Guinea,2016.0,4.194545455,0.131385998103968,0.65692999051984,2.102175969663488
Madagascar,2016.0,4.211818182,0.13250946071628106,0.6625473035814053,2.120151371460497
Kuwait,2016.0,4.212727273,0.132568590334302,0.66284295167151,2.121097445348832
Singapore,2016.0,4.249090909,0.13493377479497004,0.6746688739748502,2.1589403967195206
Monaco,2016.0,4.262727273,0.13582071900024184,0.6791035950012092,2.1731315040038695
Eritrea,2016.0,4.276363636,0.13670766314047103,0.6835383157023551,2.1873226102475365
Philippines,2016.0,4.285454545,0.13729895925563806,0.6864947962781903,2.196783348090209
Myanmar,2016.0,4.314545455,0.13919110690222355,0.6959555345111178,2.227057710435577
Turkey,2016.0,4.368181818,0.1426797539752046,0.713398769876023,2.2828760636032737
Bahrain,2016.0,4.375454545,0.1431527908543297,0.7157639542716485,2.290444653669275
Guyana,2016.0,4.385454545,0.14380321658751763,0.7190160829375881,2.300851465400282
Saint Vincent and the Grenadines,2016.0,4.386363636,0.14386234620553856,0.7193117310276929,2.301797539288617
Senegal,2016.0,4.408181818,0.14528145690795644,0.7264072845397822,2.324503310527303
Haiti,2016.0,4.430909091,0.14675969722839524,0.7337984861419762,2.348155155654324
Mongolia,2016.0,4.5,0.15125354774268998,0.7562677387134499,2.4200567638830397
Chad,2016.0,4.536363636,0.153618732203358,0.76809366101679,2.457899715253728
Solomon Islands,2016.0,4.546363636,0.15426915793654594,0.7713457896827297,2.468306526984735
Kenya,2016.0,4.641818182,0.16047776724336335,0.8023888362168168,2.5676442758938136
Dominican Republic,2016.0,4.711818182,0.16503074737567908,0.8251537368783954,2.6404919580108652
Egypt,2016.0,4.713636364,0.165149006611721,0.8257450330586049,2.642384105787536
Belize,2016.0,4.738181818,0.16674550610315914,0.8337275305157956,2.667928097650546
Vietnam,2016.0,4.775454545,0.1691698201818481,0.8458491009092405,2.7067171229095695
Yemen,2013.0,4.804,0.171026490031604,0.85513245015802,2.736423840505664
Tonga,2016.0,4.810909091,0.17147587508953774,0.8573793754476887,2.743614001432604
Nepal,2016.0,4.897272727,0.17709318821614553,0.8854659410807276,2.8334910114583285
Turkmenistan,2016.0,4.935454545,0.17957663191285544,0.8978831595642772,2.873226110605687
Seychelles,2016.0,4.937272727,0.17969489114889736,0.8984744557444868,2.875118258382358
Saint Lucia,2016.0,4.943636364,0.18010879847504405,0.9005439923752202,2.8817407756007047
Zambia,2016.0,4.959090909,0.18111400185131524,0.9055700092565762,2.897824029621044
Uganda,2016.0,4.977272727,0.18229659408164922,0.9114829704082461,2.9167455053063875
China,2016.0,4.989090909,0.18306527905087908,0.9153263952543954,2.929044464814065
Sudan,2016.0,5.113636364,0.19116603593923945,0.9558301796961972,3.058656575027831
Niger,2016.0,5.137272727,0.1927034058126566,0.9635170290632831,3.0832544930025056
Grenada,2016.0,5.14,0.19288079466671945,0.9644039733335973,3.0860927146675112
Peru,2016.0,5.141818182,0.19299905390276137,0.9649952695138069,3.087984862444182
Cape Verde,2016.0,5.210909091,0.19749290441705616,0.9874645220852808,3.1598864706728986
Comoros,2016.0,5.238181818,0.19926679276255715,0.9963339638127857,3.1882686842009145
Saint Kitts and Nevis,2016.0,5.241818182,0.199503311234641,0.9975165561732049,3.192052979754256
Morocco,2016.0,5.286363636,0.20240066219245503,1.0120033109622752,3.2384105950792805
Romania,2016.0,5.308181818,0.2038197728948729,1.0190988644743646,3.2611163663179665
Antigua and Barbuda,2016.0,5.324545455,0.20488410595420753,1.0244205297710376,3.2781456952673205
Saudi Arabia,2016.0,5.346363636,0.20630321659158282,1.0315160829579142,3.300851465465325
Luxembourg,2016.0,5.378181818,0.20837275302718858,1.0418637651359428,3.3339640484350173
Mauritius,2016.0,5.427272727,0.21156575207510744,1.0578287603755372,3.385052033201719
Burkina Faso,2016.0,5.466363636,0.21410832538983832,1.0705416269491916,3.425733206237413
Uzbekistan,2016.0,5.478181818,0.21487701035906823,1.074385051795341,3.4380321657450916
Togo,2016.0,5.531818182,0.21836565749709186,1.0918282874854592,3.4938505199534697
Dominica,2016.0,5.575454545,0.22120387883688497,1.106019394184425,3.5392620613901595
Russia,2016.0,5.628181818,0.2246333963568876,1.1231669817844379,3.5941343417102014
Mexico,2016.0,5.673636364,0.2275898769977652,1.137949384988826,3.641438031964243
Suriname,2016.0,5.702727273,0.2294820245793081,1.1474101228965405,3.6717123932689297
Samoa,2016.0,5.748181818,0.23243850515514314,1.1621925257757157,3.71901608248229
Belarus,2016.0,5.756363636,0.23297067165228916,1.1648533582614458,3.7275307464366265
Jamaica,2016.0,5.782727273,0.2346854304448118,1.173427152224059,3.754966887116989
Zimbabwe,2016.0,5.923636364,0.2438505203274642,1.219252601637321,3.9016083252394274
Trinidad and Tobago,2016.0,5.970909091,0.24692526013934116,1.2346263006967058,3.9508041622294585
Bahamas,2016.0,5.990909091,0.24822611160571706,1.2411305580285852,3.971617785691473
Guatemala,2016.0,6.141818182,0.25804162722155743,1.290208136107787,4.128666035544919
Botswana,2016.0,6.153636364,0.25881031219078726,1.2940515609539363,4.140964995052596
Algeria,2016.0,6.17,0.2598746451850794,1.2993732259253972,4.157994322961271
Latvia,2016.0,6.258181818,0.2656102175477291,1.3280510877386456,4.249763480763666
Tunisia,2016.0,6.363636364,0.2724692525877345,1.3623462629386727,4.359508041403752
Poland,2016.0,6.43,0.27678571424796633,1.3839285712398317,4.428571427967461
Central African Republic,2016.0,6.445454545,0.2777909176242375,1.3889545881211875,4.4446546819878
Kyrgyzstan,2016.0,6.465454545,0.2790917690906134,1.395458845453067,4.465468305449814
Bolivia,2016.0,6.493636364,0.28092478711917795,1.4046239355958898,4.494796593906847
Sao Tome and Principe,2016.0,6.552727273,0.28476821190028473,1.4238410595014237,4.556291390404556
Iran,2016.0,6.604545455,0.28813859980226647,1.4406929990113324,4.6102175968362635
Albania,2016.0,6.649090909,0.2910359507600805,1.4551797538004023,4.656575212161288
Estonia,2016.0,6.667272727,0.29221854299041455,1.4610927149520727,4.675496687846633
Lithuania,2016.0,6.683636364,0.2932828760497492,1.466414380248746,4.692526016795987
Cambodia,2016.0,6.734545455,0.29659413433371,1.48297067166855,4.74550614933936
Paraguay,2016.0,6.784545455,0.2998462629996497,1.4992313149982486,4.797540207994396
North Macedonia,2016.0,6.825454545,0.3025070954853801,1.5125354774269004,4.840113527766081
Tajikistan,2016.0,6.900909091,0.30741485332582147,1.5370742666291073,4.9186376532131435
Malawi,2016.0,6.985454545,0.3129139072163873,1.5645695360819365,5.006622515462197
Mozambique,2016.0,7.019090909,0.3151017028880351,1.5755085144401755,5.041627246208561
Hungary,2016.0,7.025454545,0.3155156101491392,1.577578050745696,5.048249762386227
Barbados,2016.0,7.043636364,0.3166982024445158,1.583491012222579,5.067171239112253
Rwanda,2016.0,7.06,0.3177625354388079,1.5888126771940394,5.084200567020926
Croatia,2016.0,7.075454545,0.3187677388150791,1.5938386940753955,5.100283821041265
Slovakia,2016.0,7.118181818,0.3215468306018937,1.6077341530094684,5.144749289630299
South Korea,2016.0,7.121818182,0.32178334907397754,1.6089167453698878,5.148533585183641
Cyprus,2016.0,7.148181818,0.32349810780145766,1.6174905390072882,5.1759697248233225
Israel,2016.0,7.194545455,0.3265137180603561,1.6325685903017806,5.224219488965698
Eswatini,2016.0,7.207272727,0.32734153258256443,1.636707662912822,5.237464521321031
Jordan,2016.0,7.291818182,0.33284058653817283,1.664202932690864,5.325449384610765
Andorra,2016.0,7.329090909,0.3352649006168618,1.676324503084309,5.364238409869789
Ukraine,2016.0,7.366363636,0.33768921469555085,1.6884460734777542,5.403027435128814
Ecuador,2016.0,7.451818182,0.3432473982691802,1.716236991345901,5.491958372306883
Costa Rica,2016.0,7.556363636,0.3500473036261221,1.7502365181306103,5.600756858017953
Bulgaria,2016.0,7.569090909,0.35087511821337286,1.7543755910668644,5.614001891413966
Colombia,2016.0,7.600909091,0.3529446546489787,1.7647232732448934,5.647114474383659
Guinea-Bissau,2016.0,7.664545455,0.3570837275201903,1.7854186376009515,5.713339640323045
Georgia,2016.0,7.721818182,0.36080889306525515,1.8040444653262757,5.7729422890440825
East Timor,2016.0,7.738181818,0.3618732260595473,1.8093661302977364,5.789971616952757
Czechia,2016.0,7.843636364,0.3687322610995526,1.843661305497763,5.8997161775928415
Panama,2016.0,7.868181818,0.37032876059099074,1.8516438029549538,5.925260169455852
Moldova,2016.0,7.885454545,0.3714522232033038,1.8572611160165189,5.943235571252861
Lebanon,2016.0,7.937272727,0.3748226111052855,1.8741130555264274,5.997161777684568
Honduras,2016.0,8.07,0.3834555344907919,1.9172776724539595,6.13528855185267
South Africa,2016.0,8.108181818,0.3859389781875018,1.929694890937509,6.1750236510000285
Ireland,2016.0,8.18,0.3906102175558594,1.953051087779297,6.24976348089375
Nicaragua,2016.0,8.209090909,0.3925023651374024,1.962511825687012,6.280037842198438
Burundi,2016.0,8.273636364,0.39670056762663486,1.9835028381331743,6.347209082026158
San Marino,2016.0,8.327272727,0.400189214699616,2.00094607349808,6.403027435193856
Chile,2016.0,8.436363636,0.40728476814666253,2.036423840733313,6.5165562903466006
Iceland,2016.0,8.501818182,0.411542100253916,2.05771050126958,6.584673604062656
Greece,2016.0,8.567272727,0.41579943229612704,2.0789971614806353,6.652790916738033
Uruguay,2016.0,8.627272727,0.4197019866952547,2.0985099334762736,6.715231787124075
Slovenia,2016.0,8.666363636,0.4222445600099856,2.1112228000499282,6.75591296015977
El Salvador,2016.0,8.814545455,0.43188268683680564,2.159413434184028,6.91012298938889
Montenegro,2016.0,8.819090909,0.4321783348618679,2.1608916743093394,6.9148533577898865
Maldives,2016.0,8.859090909,0.4347800377946198,2.173900188973099,6.956480604713917
Italy,2016.0,8.892727273,0.4369678334662675,2.1848391673313374,6.99148533546028
Serbia,2016.0,8.945454545,0.4403973509212276,2.2019867546061382,7.046357614739642
Brazil,2016.0,8.963636364,0.4415799432166041,2.2078997160830207,7.065279091465666
Namibia,2016.0,9.057272727,0.4476702932223371,2.2383514661116855,7.162724691557393
Malta,2016.0,9.094545455,0.45009460736606866,2.250473036830343,7.2015137178570985
Bosnia and Herzegovina,2016.0,9.250909091,0.46026490062499215,2.3013245031249605,7.364238409999874
Spain,2016.0,9.373636364,0.4682473982773105,2.3412369913865523,7.491958372436968
New Zealand,2016.0,9.460909091,0.4739238410219393,2.3696192051096965,7.582781456351029
Finland,2016.0,9.514545455,0.47741248815996296,2.3870624407998147,7.638599810559407
Portugal,2016.0,9.704545455,0.4897705770905342,2.4488528854526708,7.836329233448547
Australia,2016.0,9.789090909,0.4952696309811001,2.4763481549055006,7.924314095697602
Norway,2016.0,9.818181818,0.497161778562643,2.485808892813215,7.954588457002288
Argentina,2016.0,9.946363636,0.5054990538580445,2.5274952692902226,8.087984861728712
South Sudan,2019.0,10.074,0.5138008514216591,2.5690042571082956,8.220813622746546
Lesotho,2016.0,10.25272727,0.5254257329847023,2.6271286649235117,8.406811727755237
United Kingdom,2016.0,10.26727273,0.526371807133208,2.63185903566604,8.421948914131328
Niue,2016.0,10.33636364,0.5308656577125453,2.6543282885627266,8.493850523400726
Denmark,2016.0,10.35363636,0.5319891198695603,2.6599455993478016,8.511825917912965
Netherlands,2016.0,10.48181818,0.540326395295047,2.701631976475235,8.645222324720752
Armenia,2016.0,10.49181818,0.540976821028235,2.7048841051411747,8.65562913645176
Austria,2016.0,10.57454545,0.5463576155526739,2.73178807776337,8.741721848842783
Liberia,2016.0,10.62909091,0.5499053926339313,2.749526963169657,8.798486282142902
Japan,2016.0,10.74181818,0.557237464357934,2.78618732178967,8.915799429726944
Belgium,2016.0,10.75727273,0.5582426680594181,2.791213340297091,8.93188268895069
Switzerland,2016.0,10.83454545,0.5632686846155609,2.8163434230778046,9.012298953848974
Sweden,2016.0,10.89090909,0.5669347208027751,2.8346736040138754,9.070955532844401
Canada,2016.0,11.04818182,0.5771641438748473,2.8858207193742365,9.234626301997556
Nauru,2016.0,11.08454545,0.5795293279452599,2.8976466397262994,9.272469247124159
Kiribati,2016.0,11.30727273,0.5940160833847559,2.9700804169237793,9.504257334156094
Germany,2016.0,11.47727273,0.6050733208489512,3.0253666042447556,9.681173133583219
France,2016.0,11.49363636,0.6061376534529879,3.0306882672649396,9.698202455247806
Cuba,2016.0,11.64181818,0.6157757803448505,3.078878901724252,9.852412485517608
Sierra Leone,2016.0,11.92181818,0.6339877008741135,3.1699385043705677,10.143803213985816
Micronesia (country),2016.0,11.97454545,0.6374172181989884,3.187086090994942,10.198675491183815
Afghanistan,2016.0,12.34090909,0.6612464521150294,3.306232260575147,10.57994323384047
Palau,2016.0,12.63090909,0.6801087983774802,3.400543991887401,10.881740774039683
Marshall Islands,2016.0,13.95545455,0.7662606435736087,3.8313032178680433,12.260170297177739
United States,2016.0,16.72090909,0.946132923251356,4.73066461625678,15.138126772021696
Tuvalu,2016.0,17.54909091,1.0,5.0,16.0
