country_c,ineq,norm_atk_ineq,atkineq_log16_n
Azerbaijan,0.05702734,1.0,16.0
Slovakia,0.0999685352,0.9255730693352664,14.809169109364262
Slovenia,0.100301248,0.9249964018163133,14.799942429061012
Czechia,0.10478626900000002,0.9172228327425563,14.675565323880901
Iceland,0.10678210000000002,0.913763600302386,14.620217604838176
Denmark,0.110925282,0.9065825165433254,14.505320264693207
Belgium,0.1157361008,0.8982442652300924,14.371908243681478
Hungary,0.11753047720000001,0.8951341997722675,14.32214719635628
United Arab Emirates,0.11874521599999999,0.8930287790912111,14.288460465459378
Finland,0.119171658,0.8922896573919034,14.276634518270454
Brunei Darussalam,0.12123740499999999,0.8887092445034451,14.219347912055122
Netherlands,0.12603330100000001,0.880396857821966,14.086349725151456
Belarus,0.129664894,0.8741024750234748,13.985639600375597
Norway,0.13401004,0.8665713413751468,13.865141462002349
Ukraine,0.135121678,0.8646446180046179,13.834313888073886
Moldova,0.13584528,0.8633904499351911,13.814247198963058
Ireland,0.139949004,0.8562777559313874,13.700444094902199
Serbia,0.14247610000000002,0.8518977195141634,13.630363512226614
Croatia,0.142582238,0.8517137580401033,13.627420128641653
Andorra,0.1440248,0.8492134675509001,13.587415480814402
Malta,0.145834662,0.8460765619999634,13.537224991999414
Kazakhstan,0.1470942,0.8438934940401877,13.502295904643002
Estonia,0.149979222,0.8388930898511531,13.42228943761845
Austria,0.150497882,0.8379941332273614,13.407906131637782
Kyrgyz Republic,0.152086206,0.8352412037928045,13.363859260684873
Cyprus,0.15221853999999999,0.8350118386482921,13.360189418372673
Sweden,0.15355164000000002,0.8327012708867977,13.323220334188763
Germany,0.15746700600000002,0.825915044456634,13.214640711306144
Armenia,0.159553382,0.8222988767843248,13.156782028549197
Timor-Leste,0.1607557,0.8202149841957235,13.123439747131576
Canada,0.16135986,0.8191678364807851,13.106685383692561
South Korea,0.16421619,0.8142171621021268,13.027474593634029
Algeria,0.16809191,0.8074996512742978,12.919994420388765
United Kingdom,0.168964562,0.8059871454021175,12.89579432643388
Japan,0.1712348,0.8020523027543646,12.832836844069833
Luxembourg,0.173506514,0.7981149018604066,12.769838429766505
Greece,0.174390344,0.7965830219529416,12.745328351247066
Switzerland,0.174857394,0.7957735172848702,12.732376276557924
France,0.175081902,0.7953843934779559,12.726150295647294
Myanmar,0.17556,0.7945557400943875,12.7128918415102
Portugal,0.178762098,0.789005770543757,12.624092328700112
Poland,0.18026912,0.786393756104433,12.582300097670927
New Zealand,0.1809367,0.7852366869976756,12.56378699196281
Kiribati,0.18450107999999998,0.7790587997291172,12.464940795665875
Nauru,0.18474951,0.778628213614806,12.458051417836897
Australia,0.184899,0.7783691131912326,12.453905811059721
Russia,0.18579797999999997,0.776810974862354,12.428975597797663
Egypt,0.1867705,0.7751253748627975,12.40200599780476
Nigeria,0.187159472,0.774451197259224,12.391219156147583
Mongolia,0.1919271,0.7661878054989676,12.259004887983481
Seychelles,0.19364816399999998,0.763204807228869,12.211276915661903
Latvia,0.19594856200000002,0.7592176903903676,12.147483046245881
Tajikistan,0.19926411,0.753471085994233,12.055537375907727
Lithuania,0.19966523600000002,0.7527758427237377,12.044413483579802
Fiji,0.20193058000000003,0.7488494824993774,11.981591719990039
Spain,0.201951544,0.7488131470837658,11.981010353340253
Lebanon,0.2024052,0.7480268572867449,11.968429716587918
North Macedonia,0.20461958600000002,0.744188818952708,11.907021103243329
Albania,0.20546263800000003,0.7427276166629598,11.883641866607357
Vanuatu,0.206098956,0.741624731765459,11.865995708247343
Vietnam,0.20682252599999998,0.7403706191593645,11.845929906549832
Tonga,0.20735830000000002,0.7394420000521356,11.831072000834169
Venezuela,0.2113907,0.7324529268832436,11.719246830131897
Montenegro,0.21218461399999997,0.7310768920067909,11.697230272108655
Thailand,0.218157706,0.7207241549190706,11.53158647870513
Italy,0.22186847800000004,0.7142925367708027,11.428680588332844
Mali,0.22287794400000002,0.7125429008875797,11.400686414201274
Romania,0.223472838,0.7115118132738174,11.384189012381078
Marshall Islands,0.22492710000000002,0.7089912440037205,11.343859904059528
Solomon Islands,0.22543070000000004,0.7081183898107202,11.329894236971523
Tunisia,0.2291706,0.7016362861641725,11.22618057862676
Georgia,0.230645756,0.6990795028045034,11.185272044872054
Laos,0.231322392,0.6979067375746884,11.166507801195014
Argentina,0.23173351799999997,0.697194162012831,11.155106592205296
Yemen,0.2318842,0.6969329955801271,11.150927929282034
Oman,0.23685408999999996,0.6883190374283207,11.01310459885313
Samoa,0.2374078,0.6873593311233044,10.99774929797287
Indonesia,0.23811633799999998,0.6861312724175856,10.97810035868137
Uruguay,0.23845977999999998,0.6855360087365842,10.968576139785347
Israel,0.24020520000000004,0.6825107959376436,10.920172735002298
Hong Kong,0.2408448,0.6814022225821177,10.902435561313883
Jordan,0.24110919000000003,0.6809439741307926,10.89510358609268
El Salvador,0.24572778199999998,0.6729388959080818,10.767022334529308
Philippines,0.24577332000000002,0.6728599681196765,10.765759489914824
Malaysia,0.24726005999999998,0.6702831070336934,10.724529712539095
Dominican Republic,0.24821727999999998,0.6686240254399214,10.697984407038742
Bulgaria,0.24963732,0.666162770737324,10.658604331797184
Tuvalu,0.2514647,0.662995502478379,10.607928039654064
Iraq,0.2547499,0.6573014981200704,10.516823969921127
United States,0.256936198,0.6535121427260118,10.456194283616188
"Micronesia, Fed. Sts.",0.2579288,0.6517917360189418,10.428667776303069
Morocco,0.2592268,0.6495420046001288,10.39267207360206
Singapore,0.2593509,0.6493269108643239,10.389230573829183
Bosnia and Herzegovina,0.2650154,0.639509034422208,10.232144550755327
Papua New Guinea,0.271712,0.6279022921885997,10.046436675017596
Iran,0.27634204,0.6198773719587375,9.9180379513398
Pakistan,0.28438736000000003,0.6059329889245271,9.694927822792433
Djibouti,0.2869215,0.6015407436412676,9.624651898260282
Bolivia,0.28714449599999997,0.6011542404768072,9.618467847628915
TÃ¼rkiye,0.29081083999999996,0.5947996262326033,9.516794019721653
Afghanistan,0.292251,0.5923034989597853,9.476855983356565
Maldives,0.29559742,0.5865033863137572,9.384054181020115
Ecuador,0.304329528,0.5713686423075408,9.141898276920653
Mexico,0.30435212,0.5713294851948953,9.141271763118326
China,0.307136964,0.566502712434269,9.064043398948304
Gabon,0.31416732,0.5543174945770726,8.869079913233161
Mauritius,0.314441,0.5538431444270719,8.861490310833151
Palestine,0.3144795,0.5537764151053275,8.86042264168524
Nepal,0.3191333,0.5457103133511887,8.731365013619019
Peru,0.323179544,0.538697245358135,8.61915592573016
Guinea,0.324387196,0.5366041077253212,8.585665723605139
Guatemala,0.32801768,0.5303116470779421,8.484986353247074
Paraguay,0.33292314,0.5218093608793821,8.348949774070114
Jamaica,0.3368349,0.5150293844734838,8.24047015157574
Mauritania,0.34999278,0.49222376348660246,7.875580215785639
Honduras,0.35108676,0.49032764547616103,7.8452423276185765
Costa Rica,0.35234180000000004,0.4881523735810399,7.810437977296639
Nicaragua,0.3527897,0.48737606025092717,7.798016964014835
Bangladesh,0.35763913599999997,0.47897087648149494,7.663534023703919
Cambodia,0.3581779,0.4780370750191487,7.6485932003063795
Chile,0.358487628,0.4775002454252456,7.64000392680393
Sierra Leone,0.3592492,0.4761802666455166,7.618884266328266
Bhutan,0.360829304,0.4734415843544594,7.57506534967135
Liberia,0.3642431,0.46752469366214955,7.480395098594393
Ethiopia,0.3645498,0.466993112286071,7.471889796577136
Sri Lanka,0.369155114,0.4590110478798308,7.344176766077293
Niger,0.369470948,0.45846363518882205,7.335418163021153
Bahamas,0.3755426,0.44794007103743605,7.167041136598977
Gambia,0.38118286,0.438164208069582,7.010627329113312
India,0.3851878,0.4312227293727706,6.89956366996433
Panama,0.388102452,0.4261709696044299,6.8187355136708785
Guinea-Bissau,0.39132102399999996,0.42059244683700936,6.72947914939215
St. Lucia,0.3915866,0.4201321427759286,6.722114284414857
Benin,0.3925987,0.4183779415671608,6.694047065074573
Sudan,0.39337268,0.41703645688030955,6.672583310084953
Burundi,0.3951852,0.4138949444063288,6.622319110501261
Senegal,0.40112119599999996,0.4036065031866458,6.457704050986333
Chad,0.401591664,0.4027910743413867,6.444657189462188
Kenya,0.406237344,0.3947390464078341,6.315824742525345
Palau,0.40917692,0.38964408763650216,6.2343054021840345
Tanzania,0.4109967,0.38648999191899247,6.1838398707038795
Malawi,0.41232673999999997,0.384184727838655,6.14695564541848
Burkina Faso,0.417612244,0.3750237383062496,6.000379812899993
Colombia,0.418286188,0.3738556389292692,5.981690222868307
Sao Tome and Principe,0.4235793,0.3646814629895956,5.834903407833529
Brazil,0.42586670800000004,0.3607168607975737,5.771469772761179
Uganda,0.435285908,0.344391228917694,5.510259662683104
Rwanda,0.44333999999999996,0.33043164199750086,5.286906271960014
Togo,0.44683954400000003,0.32436613037321815,5.1898580859714905
DR Congo,0.44814992,0.3220949485106154,5.153519176169846
Madagascar,0.44883781999999994,0.32090266018781,5.13444256300496
Cabo Verde,0.45382920000000004,0.312251454941866,4.996023279069856
Botswana,0.4548167,0.31053989116984915,4.968638258717586
Cote d'Ivoire,0.456060864,0.3083834698748137,4.934135517997019
Somalia,0.4740512,0.2772020953492331,4.43523352558773
South Sudan,0.4885379,0.25209332482156055,4.033493197144969
Barbados,0.4898357,0.2498439400485748,3.9975030407771968
Ghana,0.509502,0.21575773588693903,3.4521237741910245
Zimbabwe,0.513789324,0.20832682101372546,3.3332291362196074
Lesotho,0.5142888,0.20746111465768302,3.3193778345229283
Haiti,0.5206961,0.19635579561318317,3.1416927298109307
Comoros,0.5244411,0.18986485249804075,3.037837639968652
Cameroon,0.5285953,0.1826646720203572,2.922634752325715
Namibia,0.5299237,0.18036225043580312,2.88579600697285
Congo Republic,0.5511418,0.14358642130058175,2.297382740809308
Mozambique,0.5539660200000001,0.13869140090948762,2.219062414551802
Central African Republic,0.554030836,0.13857905992979447,2.2172649588767115
Angola,0.55733564,0.13285107734749935,2.1256172375599895
South Africa,0.59932494,0.060073999178033355,0.9611839868485337
Eswatini,0.6049704,0.05028912341867098,0.8046259746987356
Zambia,0.6339851,0.0,0.0
