country,year,access_electricity,norm_access_electricity,norm_with_pts,norm_pts_log5
Isle of Man,2017,100.0,1.0,5.0,32.0
Estonia,2017,100.0,1.0,5.0,32.0
Lithuania,2017,100.0,1.0,5.0,32.0
Liechtenstein,2017,100.0,1.0,5.0,32.0
Latvia,2017,100.0,1.0,5.0,32.0
Kuwait,2017,100.0,1.0,5.0,32.0
Kazakhstan,2017,100.0,1.0,5.0,32.0
Japan,2017,100.0,1.0,5.0,32.0
Italy,2017,100.0,1.0,5.0,32.0
Israel,2017,100.0,1.0,5.0,32.0
Ireland,2017,100.0,1.0,5.0,32.0
Iceland,2017,100.0,1.0,5.0,32.0
Hungary,2017,100.0,1.0,5.0,32.0
Hong Kong,2017,100.0,1.0,5.0,32.0
United Arab Emirates,2017,100.0,1.0,5.0,32.0
United Kingdom,2017,100.0,1.0,5.0,32.0
United States,2017,100.0,1.0,5.0,32.0
Guam,2017,100.0,1.0,5.0,32.0
Greenland,2017,100.0,1.0,5.0,32.0
Greece,2017,100.0,1.0,5.0,32.0
Germany,2017,100.0,1.0,5.0,32.0
French Polynesia,2017,100.0,1.0,5.0,32.0
France,2017,100.0,1.0,5.0,32.0
Finland,2017,100.0,1.0,5.0,32.0
Faeroe Islands,2017,100.0,1.0,5.0,32.0
Luxembourg,2017,100.0,1.0,5.0,32.0
Macao,2017,100.0,1.0,5.0,32.0
Malta,2017,100.0,1.0,5.0,32.0
Qatar,2017,100.0,1.0,5.0,32.0
Sweden,2017,100.0,1.0,5.0,32.0
Spain,2017,100.0,1.0,5.0,32.0
South Korea,2017,100.0,1.0,5.0,32.0
Slovenia,2017,100.0,1.0,5.0,32.0
Slovakia,2017,100.0,1.0,5.0,32.0
Sint Maarten (Dutch part),2017,100.0,1.0,5.0,32.0
Singapore,2017,100.0,1.0,5.0,32.0
San Marino,2017,100.0,1.0,5.0,32.0
Saint Martin (French part),2017,100.0,1.0,5.0,32.0
Saint Kitts and Nevis,2017,100.0,1.0,5.0,32.0
Puerto Rico,2017,100.0,1.0,5.0,32.0
Turkey,2017,100.0,1.0,5.0,32.0
Portugal,2017,100.0,1.0,5.0,32.0
Poland,2017,100.0,1.0,5.0,32.0
Oman,2017,100.0,1.0,5.0,32.0
Norway,2017,100.0,1.0,5.0,32.0
Northern Mariana Islands,2017,100.0,1.0,5.0,32.0
Trinidad and Tobago,2017,100.0,1.0,5.0,32.0
New Zealand,2017,100.0,1.0,5.0,32.0
New Caledonia,2017,100.0,1.0,5.0,32.0
Netherlands,2017,100.0,1.0,5.0,32.0
Monaco,2017,100.0,1.0,5.0,32.0
United States Virgin Islands,2017,100.0,1.0,5.0,32.0
Switzerland,2017,100.0,1.0,5.0,32.0
Bahrain,2017,100.0,1.0,5.0,32.0
Czechia,2017,100.0,1.0,5.0,32.0
Brunei,2017,100.0,1.0,5.0,32.0
Channel Islands,2017,100.0,1.0,5.0,32.0
Belgium,2017,100.0,1.0,5.0,32.0
Bahamas,2017,100.0,1.0,5.0,32.0
Canada,2017,100.0,1.0,5.0,32.0
Antigua and Barbuda,2017,100.0,1.0,5.0,32.0
Curacao,2017,100.0,1.0,5.0,32.0
Cyprus,2017,100.0,1.0,5.0,32.0
Austria,2017,100.0,1.0,5.0,32.0
Croatia,2017,100.0,1.0,5.0,32.0
Australia,2017,100.0,1.0,5.0,32.0
Bermuda,2017,100.0,1.0,5.0,32.0
Barbados,2017,100.0,1.0,5.0,32.0
Azerbaijan,2017,100.0,1.0,5.0,32.0
Andorra,2017,100.0,1.0,5.0,32.0
Cayman Islands,2017,100.0,1.0,5.0,32.0
Denmark,2017,100.0,1.0,5.0,32.0
Ukraine,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103
China,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103
Georgia,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103
Aruba,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103
Saudi Arabia,2017,99.98181818181818,0.9998072846405859,4.999036423202929,31.993833108498748
Turkmenistan,2017,99.97272727272728,0.9997109269608789,4.998554634804394,31.990749662748126
Gibraltar,2017,99.97272727272728,0.9997109269608789,4.998554634804394,31.990749662748126
Albania,2017,99.96363636363635,0.9996145692811716,4.998072846405858,31.987666216997493
Palestine,2017,99.94545454545457,0.9994218539217578,4.997109269608789,31.981499325496248
Iran,2017,99.92727272727274,0.9992291385623435,4.996145692811718,31.975332433994993
Serbia,2017,99.90909091,0.999036423212565,4.995182116062825,31.96916554280208
Chile,2017,99.90909091,0.999036423212565,4.995182116062825,31.96916554280208
Uzbekistan,2017,99.90909091,0.999036423212565,4.995182116062825,31.96916554280208
Malaysia,2017,99.9,0.9989400655232222,4.994700327616111,31.96608209674311
North Macedonia,2017,99.89090909090908,0.998843707843515,4.994218539217575,31.96299865099248
Bosnia and Herzegovina,2017,99.89090909090908,0.998843707843515,4.994218539217575,31.96299865099248
Egypt,2017,99.8818181818182,0.9987473501638083,4.993736750819042,31.959915205241867
Moldova,2017,99.8818181818182,0.9987473501638083,4.993736750819042,31.959915205241867
Jordan,2017,99.86363636363636,0.9985546348043939,4.99277317402197,31.953748313740604
Tunisia,2017,99.86363636363636,0.9985546348043939,4.99277317402197,31.953748313740604
Maldives,2017,99.83636363636364,0.9982655617652728,4.991327808826364,31.94449797648873
Armenia,2017,99.8181818181818,0.9980728464058584,4.990364232029291,31.938331084987468
Argentina,2017,99.8181818181818,0.9980728464058584,4.990364232029291,31.938331084987468
Lebanon,2017,99.80909090909093,0.9979764887261516,4.9898824436307585,31.935247639236852
Uruguay,2017,99.8,0.9978801310464444,4.989400655232222,31.93216419348622
British Virgin Islands,2017,99.74545454545456,0.9973019849682022,4.986509924841011,31.91366351898247
Thailand,2017,99.72727272727272,0.9971092696087878,4.985546348043939,31.90749662748121
Venezuela,2017,99.71818181818183,0.9970129119290809,4.985064559645405,31.90441318173059
Brazil,2017,99.7,0.9968201965696666,4.984100982848333,31.89824629022933
Nauru,2017,99.7,0.9968201965696666,4.984100982848333,31.89824629022933
Iraq,2017,99.67272727272729,0.9965311235305455,4.9826556176527275,31.888995952977456
Costa Rica,2017,99.66363636363636,0.9964347658508382,4.982173829254191,31.885912507226823
Seychelles,2017,99.66363636363636,0.9964347658508382,4.982173829254191,31.885912507226823
Mauritius,2017,99.64545454545454,0.9962420504914241,4.981210252457121,31.87974561572557
Kyrgyzstan,2017,99.64545454545454,0.9962420504914241,4.981210252457121,31.87974561572557
Palau,2017,99.64545454545454,0.9962420504914241,4.981210252457121,31.87974561572557
Montenegro,2017,99.59090909,0.9956639044035459,4.978319522017729,31.86124494091347
Russia,2017,99.50909091,0.9947966853054538,4.973983426527269,31.833493929774523
Mexico,2017,99.49090909,0.9946039699267681,4.9730198496338405,31.82732703765658
Algeria,2017,99.47272727272728,0.9944112545769899,4.97205627288495,31.821160146463676
Vietnam,2017,99.39090909090908,0.993544035459626,4.96772017729813,31.793409134708032
Turks and Caicos Islands,2017,99.30909090909093,0.9926768163422627,4.963384081711314,31.765658122952406
Cuba,2017,99.30909090909093,0.9926768163422627,4.963384081711314,31.765658122952406
Romania,2017,99.27272727272728,0.9922913856234342,4.961456928117171,31.753324339949895
Paraguay,2017,99.25454545454544,0.9920986702640199,4.9604933513201,31.747157448448636
Tajikistan,2017,99.23636363636363,0.9919059549046059,4.95952977452303,31.740990556947388
Saint Vincent and the Grenadines,2017,99.03636363636365,0.9897860859510504,4.9489304297552525,31.673154750433614
Saint Lucia,2017,99.02727272727272,0.9896897282713432,4.948448641356716,31.67007130468298
Ecuador,2017,98.87272727272726,0.9880516477163228,4.940258238581614,31.61765272692233
Dominican Republic,2017,98.76363636363637,0.9868953555598381,4.9344767777991905,31.58065137791482
Colombia,2017,98.66363636363636,0.9858354210830602,4.929177105415301,31.546733474657927
Tuvalu,2017,98.64545454545454,0.9856427057236461,4.9282135286182305,31.540566583156675
Morocco,2017,98.51818181818182,0.9842936982077471,4.921468491038736,31.49739834264791
Belarus,2017,98.36363636363636,0.9826556176527269,4.913278088263635,31.44497976488726
Samoa,2017,98.29090909,0.9818847562054346,4.909423781027173,31.420312198573907
Dominica,2017,97.8818181818182,0.9775486606282523,4.887743303141262,31.281557140104074
Indonesia,2017,97.84545454545454,0.9771632299094237,4.885816149547119,31.26922335710156
Tonga,2017,97.84545454545454,0.9771632299094237,4.885816149547119,31.26922335710156
Bulgaria,2017,97.75454545454544,0.9761996531123529,4.8809982655617645,31.238388899595293
Jamaica,2017,96.90909091,0.9672383889092311,4.836191944546155,30.951628445095395
El Salvador,2017,96.72727272727272,0.9653112353054537,4.826556176527268,30.88995952977452
Suriname,2017,96.60909090909092,0.964058585469262,4.82029292734631,30.849874735016385
Bhutan,2017,96.60909090909092,0.964058585469262,4.82029292734631,30.849874735016385
Sri Lanka,2017,96.23636363636363,0.9601079206012719,4.80053960300636,30.7234534592407
Marshall Islands,2017,94.69090909090907,0.9437271150510694,4.718635575255347,30.199267681634222
Peru,2017,94.34545454545454,0.9400655232222008,4.700327616111004,30.082096743110426
Fiji,2017,93.85454545454546,0.9348622085180189,4.6743110425900944,29.915590672576606
Belize,2017,93.66363636363636,0.9328386972441702,4.664193486220851,29.850838311813447
Bolivia,2017,93.50909091,0.9312006166987858,4.656003083493929,29.798419734361147
Panama,2017,92.74545454545456,0.9231065715937562,4.615532857968781,29.5394102910002
Mongolia,2017,92.70909091,0.9227211408845635,4.613605704422818,29.52707650830603
Guatemala,2017,92.65454545454546,0.9221429947966853,4.610714973983426,29.50857583349393
Philippines,2017,92.42727272727274,0.9197340528040086,4.5986702640200425,29.431489689728274
Pakistan,2017,92.29090909,0.9182886875987666,4.591443437993833,29.38523800316053
Grenada,2017,92.16363636363636,0.9169396800925033,4.584698400462516,29.342069762960104
India,2017,91.30909090909093,0.9078820582000388,4.539410291000194,29.05222586240124
Laos,2017,91.00909090909092,0.9047022547697052,4.523511273848526,28.950472152630567
Honduras,2017,90.17272727272729,0.8958373482366546,4.479186741183273,28.666795143572948
Guyana,2017,89.60909090909091,0.8898631720948159,4.44931586047408,28.47562150703411
Cape Verde,2017,89.38181818181819,0.8874542301021392,4.437271150510696,28.398535363268454
Syria,2017,89.33636363636364,0.8869724417036039,4.43486220851802,28.383118134515325
Gabon,2017,89.16363636363636,0.8851416457891693,4.4257082289458465,28.324532665253418
World,2017,88.51914654545455,0.8783104760069378,4.391552380034689,28.10593523222201
Afghanistan,2017,87.75454545454545,0.870206205434573,4.351031027172866,27.846598573906338
Kiribati,2017,87.52727272727272,0.8677972634418962,4.338986317209481,27.76951243014068
Nepal,2017,86.51818181818182,0.8571015609944113,4.285507804972056,27.42724995182116
South Africa,2017,85.94545454545454,0.8510310271728656,4.255155135864328,27.2329928695317
Nicaragua,2017,84.22727272727273,0.832819425708229,4.164097128541145,26.650221622663327
Bangladesh,2017,81.90909091,0.8082482173925613,4.041241086962806,25.86394295656196
East Timor,2017,79.30909090909091,0.7806899209867026,3.9034496049335132,24.982077471574485
Comoros,2017,78.85454545454546,0.7758720370013491,3.8793601850067456,24.82790518404317
Ghana,2017,78.04545454545455,0.7672962035074196,3.836481017537098,24.553478512237426
Micronesia (country),2017,76.53636363636363,0.7513008286760454,3.7565041433802273,24.041626517633453
Cambodia,2017,72.34545454545454,0.706879938331085,3.534399691655425,22.62015802659472
Libya,2017,72.09090909,0.7041819232896511,3.5209096164482556,22.533821545268836
Sao Tome and Principe,2017,71.08181818181818,0.6934862208518019,3.4674311042590094,22.19155906725766
Eswatini,2017,70.36363636363636,0.6858739641549431,3.429369820774715,21.947966852958178
Yemen,2017,69.92727272727274,0.6812487955290037,3.4062439776450186,21.79996145692812
Equatorial Guinea,2017,66.35454545454546,0.6433802274041241,3.2169011370206206,20.588167276931973
Botswana,2017,66.13636363636364,0.6410676430911544,3.2053382154557717,20.51416457891694
Cote d'Ivoire,2017,65.34545454545454,0.6326845249566391,3.1634226247831956,20.24590479861245
Myanmar,2017,63.7,0.6152437849296589,3.0762189246482947,19.687801117749085
Senegal,2017,63.43636363636363,0.6124494122181537,3.0622470610907686,19.59838119098092
Solomon Islands,2017,61.33636363636364,0.59019078820582,2.9509539410291,18.88610522258624
Cameroon,2017,61.24545454545455,0.5892272114087493,2.9461360570437467,18.85527076507998
Djibouti,2017,61.2,0.5887454230102139,2.9437271150510695,18.839853536326846
Gambia,2017,57.76363636363636,0.5523222200809403,2.7616111004047017,17.67431104259009
Vanuatu,2017,57.36363636363637,0.5480824821738293,2.7404124108691463,17.538639429562537
Kenya,2017,56.32727272727273,0.537097706687223,2.685488533436115,17.187126613991136
Nigeria,2017,56.02727272727272,0.5339179032568895,2.6695895162844474,17.085372904220463
Sudan,2017,52.52727272727272,0.4968201965696665,2.4841009828483323,15.898246290229327
Namibia,2017,51.39090909090908,0.48477548660628245,2.423877433031412,15.512815571401038
Somalia,2017,50.64545454545455,0.4768741568703026,2.384370784351513,15.259973019849683
Togo,2017,48.61818181818182,0.45538639429562533,2.2769319714781266,14.57236461746001
Eritrea,2017,48.16363636363636,0.4505685103102717,2.2528425515513586,14.418192329928694
Congo,2017,46.09090909090909,0.42859895933705916,2.142994796685296,13.715166698785893
North Korea,2017,44.17272727272727,0.4082674889188668,2.041337444594334,13.064559645403738
Zimbabwe,2017,43.72727272727273,0.40354596261322023,2.017729813066101,12.913470803623047
Haiti,2017,43.04545454545455,0.3963191366351898,1.9815956831759491,12.682212372326074
Angola,2017,42.63636363636363,0.3919830410483715,1.9599152052418576,12.543457313547888
Mauritania,2017,42.45454545454545,0.3900558874542301,1.9502794372711505,12.481788398535363
Mali,2017,41.74545454545454,0.38253998843707837,1.9126999421853919,12.241279629986508
Ethiopia,2017,41.48181818181818,0.37974561572557325,1.8987280786278662,12.151859703218344
Benin,2017,38.8,0.35132010021198684,1.7566005010599341,11.242243206783579
Guinea,2017,38.37272727272728,0.3467912892657546,1.7339564463287729,11.097321256504147
Zambia,2017,37.845454545454544,0.34120254384274423,1.706012719213721,10.918481402967815
Lesotho,2017,37.76363636363636,0.34033532472538053,1.7016766236269025,10.890730391212177
Rwanda,2017,33.445454545454545,0.2945654268645211,1.4728271343226054,9.426093659664675
Uganda,2017,31.818181818181817,0.27731740219695505,1.3865870109847753,8.874156870302562
Tanzania,2017,31.572727272727278,0.27471574484486416,1.3735787242243207,8.790903835035653
Mozambique,2017,27.181818181818183,0.22817498554634805,1.1408749277317403,7.3015995374831375
Madagascar,2017,26.91818181818182,0.22538061283484295,1.1269030641742148,7.2121796107149745
Guinea-Bissau,2017,25.75454545454545,0.21304682983233758,1.065234149161688,6.817498554634803
Sierra Leone,2017,22.263636363636365,0.17604548082482174,0.8802274041241087,5.633455386394296
Liberia,2017,20.063636363636363,0.15272692233571014,0.7636346116785507,4.8872615147427245
Papua New Guinea,2017,18.645454545454545,0.1376951243014068,0.688475621507034,4.406243977645017
Democratic Republic of Congo,2017,17.83636363636364,0.1291192908074774,0.645596454037387,4.131817305839276
Niger,2017,17.21818181818182,0.12256696858739641,0.6128348429369821,3.922142994796685
Burkina Faso,2017,17.136363636363637,0.12169974947003274,0.6084987473501637,3.894391983041048
Central African Republic,2017,13.672727272727274,0.0849874735016381,0.4249373675081905,2.719599152052419
Malawi,2017,11.97272727272727,0.06696858739641547,0.33484293698207734,2.142994796685295
Chad,2017,9.5,0.040759298516091724,0.20379649258045862,1.3042975525149352
Burundi,2017,8.636363636363637,0.031605318943919825,0.15802659471959912,1.0113702062054344
South Sudan,2017,5.654545454545455,0.0,0.0,0.0
